,truth,label,output_std,output_bag,output_stp,output_ave
0,1.0,1.0,0.894,,0.877,0.8855
1,1.0,1.0,0.903,,0.903,0.903
2,1.0,1.0,0.9259999999999999,,0.927,0.9265
3,1.0,1.0,0.904,,0.871,0.8875
4,1.0,1.0,0.8590000000000001,,0.858,0.8585
5,1.0,1.0,0.892,,0.857,0.8745
6,1.0,1.0,0.89,,0.892,0.891
7,1.0,1.0,0.8859999999999999,,0.892,0.889
8,1.0,1.0,0.857,,0.866,0.8614999999999999
9,1.0,1.0,0.9059999999999999,,0.867,0.8865
10,1.0,1.0,0.8759999999999999,,0.877,0.8765
11,1.0,1.0,0.903,,0.898,0.9005000000000001
12,1.0,1.0,0.9059999999999999,,0.904,0.905
13,1.0,1.0,0.894,,0.862,0.878
14,1.0,1.0,0.843,,0.8590000000000001,0.851
15,1.0,1.0,0.884,,0.878,0.881
16,1.0,1.0,0.894,,0.892,0.893
17,1.0,1.0,0.9179999999999999,,0.885,0.9015
18,1.0,1.0,0.9259999999999999,,0.919,0.9225
19,1.0,1.0,0.8740000000000001,,0.89,0.8820000000000001
20,1.0,1.0,0.8420000000000001,,0.861,0.8515
21,1.0,1.0,0.879,,0.879,0.879
22,1.0,1.0,0.846,,0.848,0.847
23,1.0,1.0,0.8809999999999999,,0.879,0.8799999999999999
24,1.0,1.0,0.866,,0.858,0.862
25,1.0,1.0,0.897,,0.8909999999999999,0.8939999999999999
26,1.0,1.0,0.919,,0.919,0.919
27,1.0,1.0,0.8690000000000001,,0.867,0.8680000000000001
28,1.0,1.0,0.88,,0.8959999999999999,0.8879999999999999
29,1.0,1.0,0.904,,0.904,0.904
30,1.0,1.0,0.8909999999999999,,0.893,0.8919999999999999
31,1.0,1.0,0.875,,0.882,0.8785000000000001
32,1.0,1.0,0.9059999999999999,,0.885,0.8955
33,1.0,1.0,0.904,,0.898,0.901
34,1.0,1.0,0.932,,0.917,0.9245000000000001
35,1.0,1.0,0.853,,0.867,0.86
36,1.0,1.0,0.9079999999999999,,0.905,0.9065
37,1.0,1.0,0.884,,0.847,0.8654999999999999
38,1.0,1.0,0.84,,0.852,0.846
39,1.0,1.0,0.915,,0.904,0.9095
40,1.0,1.0,0.912,,0.9009999999999999,0.9065
41,1.0,1.0,0.895,,0.89,0.8925000000000001
42,1.0,1.0,0.888,,0.865,0.8765000000000001
43,1.0,1.0,0.8959999999999999,,0.922,0.909
44,1.0,1.0,0.894,,0.893,0.8935
45,1.0,1.0,0.802,,0.804,0.803
46,1.0,1.0,0.8859999999999999,,0.87,0.8779999999999999
47,1.0,1.0,0.929,,0.91,0.9195
48,1.0,1.0,0.9129999999999999,,0.9259999999999999,0.9195
49,1.0,1.0,0.884,,0.8959999999999999,0.8899999999999999
50,1.0,1.0,0.893,,0.9009999999999999,0.897
51,1.0,1.0,0.915,,0.915,0.915
52,1.0,1.0,0.895,,0.902,0.8985000000000001
53,1.0,1.0,0.93,,0.92,0.925
54,1.0,1.0,0.905,,0.892,0.8985000000000001
55,1.0,1.0,0.897,,0.902,0.8995
56,1.0,1.0,0.905,,0.892,0.8985000000000001
57,1.0,1.0,0.9209999999999999,,0.9259999999999999,0.9235
58,1.0,1.0,0.83,,0.8220000000000001,0.8260000000000001
